paragraph #,sentence #,verb,object
8,6,assure,schoolmaster
8,6,assure,sailor
8,6,require,decoction
8,6,require,Seneca
8,6,require,Stoics
8,6,enable,
8,6,grin,
8,6,bear,
8,7,wear,time
9,1,get,broom
9,1,get,sweep
9,1,get,decks
9,2,do,indignity
9,2,amount,
9,2,weigh,
9,2,mean,scales
9,2,mean,New Testament
9,3,do,
9,3,think,
9,3,think,anything
9,3,think,archangel
9,3,think,Gabriel
9,3,obey,hunks
9,3,obey,instance
9,4,ai,slave
9,5,tell,
9,6,order,
9,6,thump,
9,6,punch,
9,6,have,satisfaction
9,6,have,knowing
9,6,be,
9,6,be,
9,6,be,round
9,6,be,hands
9,6,be,
9,6,be,thump
9,6,be,
9,6,be,way
9,6,be,way
9,6,be,point
9,6,be,view
9,6,be,everybody
9,6,rub,shoulder-blades
10,1,go,sea
10,1,go,sailor
10,1,make,point
10,1,make,paying
10,1,make,trouble
10,1,pay,passengers
10,1,pay,penny
10,1,hear,
10,3,be,difference
10,3,be,world
10,3,be,paying
10,3,be,being
10,4,be,infliction
10,4,be,orchard thieves
10,5,compare,
10,6,receive,money
10,6,be,
10,6,be,root
10,6,be,ills
10,6,be,account
10,6,be,man
10,6,be,considering
10,6,believe,money
10,6,enter,heaven
10,8,consign,perdition
11,1,go,sea
11,1,go,sailor
11,1,go,exercise
11,1,go,air
11,1,go,deck
11,2,be,
11,2,be,winds
11,2,be,astern
11,2,violate,Pythagorean maxim
11,2,violate,part
11,2,violate,Commodore
11,2,violate,quarter-deck
11,2,get,atmosphere
11,2,get,hand
11,2,get,sailors
11,2,get,forecastle
11,3,think,
11,3,breathe,
11,4,do,commonalty
11,4,lead,leaders
11,4,lead,things
11,4,lead,time
11,4,lead,leaders
11,4,suspect,
11,5,be,having
11,5,be,sea
11,5,be,merchant sailor
11,5,take,head
11,5,go,voyage
11,5,go,police officer
11,5,go,Fates
11,5,have,surveillance
11,5,dog,
11,5,influence,way
11,5,answer,
11,6,form,part
11,6,form,programme
11,6,form,Providence
11,6,be,time
11,7,come,sort
11,7,come,interlude
11,7,come,solo
11,7,come,performances
11,8,take,part
11,8,take,bill
11,8,have,something
12,1,election,Presidency
12,1,election,United States
12,2,by,ISHMAEL
12,3,battle,AFFGHANISTAN
13,1,tell,
13,1,tell,
13,1,be,
13,1,be,choice
13,1,be,resulting
13,1,be,freewill
13,1,be,discriminating
13,1,be,judgment
13,1,be,
13,1,be,
13,1,be,parts
13,1,be,tragedies
13,1,be,parts
13,1,be,comedies
13,1,be,parts
13,1,be,farces
13,1,be,stage managers
13,1,be,Fates
13,1,put,part
13,1,put,whaling
13,1,put,voyage
13,1,put,others
13,1,recall,circumstances
13,1,think,
13,1,see,springs
13,1,see,motives
13,1,see,being
13,1,see,disguises
13,1,set,performing
13,1,set,part
13,1,do,cajoling
13,1,do,delusion
14,1,be,idea
14,1,be,whale
14,2,rouse,curiosity
14,3,roll,island bulk
14,3,roll,perils
14,3,roll,whale
14,3,roll,attending
14,3,roll,marvels
14,3,roll,sights
14,3,roll,sounds
14,3,sway,wish
14,4,have,
14,4,be,itch
14,4,be,things remote
14,5,love,
14,5,sail,seas
14,5,land,coasts
14,6,be,
14,6,be,terms
14,6,be,inmates
14,6,be,place
14,6,be,lodges
14,6,be,
14,6,be,
14,6,be,
14,6,be,
14,6,perceive,horror
14,6,let,
15,1,be,flood-gates
15,1,be,wonder-world
15,1,swing,conceits
15,1,swing,purpose
15,1,float,soul
15,1,float,processions
15,1,float,whale
15,1,float,phantom
15,1,float,snow hill
15,1,float,air
